"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afbdi","Burundi","bdi",128
"af","Africa","afbwa","Botswana","bwa",119.00000000000001
"af","Africa","afcmr","Cameroon","cmr",137
"af","Africa","afdza","Algeria","dza",7535554900
"af","Africa","afegy","Egypt","egy",19003485
"af","Africa","afgab","Gabon","gab",49
"af","Africa","afgha","Ghana","gha",2106.9999999999995
"af","Africa","afken","Kenya","ken",1790
"af","Africa","aflby","Libya","lby",1635357826.9999998
"af","Africa","afmar","Morocco","mar",27000.999999999996
"af","Africa","afmdg","Madagascar","mdg",144.00000000000003
"af","Africa","afmoz","Mozambique","moz",258156566.99999997
"af","Africa","afmwi","Malawi","mwi",8975
"af","Africa","afnam","Namibia","nam",645.9999999999999
"af","Africa","afnga","Nigeria","nga",12875
"af","Africa","afrwa","Rwanda","rwa",2271
"af","Africa","aftza","Tanzania","tza",117
"af","Africa","afuga","Uganda","uga",49
"af","Africa","afzaf","South Africa","zaf",500790
"as","Asia","asare","United Arab Emirates","are",13389
"as","Asia","asaze","Azerbaijan","aze",6506027997
"as","Asia","asbrn","Brunei","brn",30842
"as","Asia","aschn","China","chn",1883792635.0000002
"as","Asia","ashkg","Hong Kong","hkg",32452
"as","Asia","asidn","Indonesia","idn",2535469724
"as","Asia","asind","India","ind",5790
"as","Asia","asirn","Iran","irn",76043558
"as","Asia","asirq","Iraq","irq",241.00000000000003
"as","Asia","asisr","Israel","isr",51145
"as","Asia","asjpn","Japan","jpn",261543
"as","Asia","askaz","Kazakhstan","kaz",1294419099
"as","Asia","askor","South Korea","kor",30137
"as","Asia","asmmr","Burma","mmr",2820106830
"as","Asia","asmys","Malaysia","mys",661762966
"as","Asia","asomn","Oman","omn",68
"as","Asia","asqat","Qatar","qat",1225.0000000000002
"as","Asia","assgp","Singapore","sgp",161175
"as","Asia","astha","Thailand","tha",598191
"as","Asia","astkm","Turkmenistan","tkm",6945845367
"as","Asia","astur","Turkey","tur",77899065
"as","Asia","asuzb","Uzbekistan","uzb",692460878
"as","Asia","asvnm","Vietnam","vnm",17600
"eu","Europe","ascyp","Cyprus","cyp",12066303
"eu","Europe","euaut","Austria","aut",904660555
"eu","Europe","eubel","Belgium","bel",15421769351
"eu","Europe","eubgr","Bulgaria","bgr",244489158
"eu","Europe","eubih","Bosnia and Herzegovina","bih",366760
"eu","Europe","euche","Switzerland","che",1049927686
"eu","Europe","eucze","Czechia","cze",276014164
"eu","Europe","eudeu","Germany","deu",4730881414
"eu","Europe","eudnk","Denmark","dnk",384299718.99999994
"eu","Europe","euesp","Spain","esp",284854731
"eu","Europe","euest","Estonia","est",177749891
"eu","Europe","eufin","Finland","fin",9345296
"eu","Europe","eufra","France","fra",2728820132
"eu","Europe","eugbr","United Kingdom","gbr",4388002679
"eu","Europe","eugrc","Greece","grc",273101681
"eu","Europe","euhrv","Croatia","hrv",58751428
"eu","Europe","euhun","Hungary","hun",507732964
"eu","Europe","euirl","Ireland","irl",12828312
"eu","Europe","euita","Italy","ita",222731392
"eu","Europe","eultu","Lithuania","ltu",24099275
"eu","Europe","eulux","Luxembourg","lux",10951474
"eu","Europe","eulva","Latvia","lva",124889400
"eu","Europe","eumda","Moldova","mda",1581897.0000000002
"eu","Europe","eumkd","North Macedonia","mkd",20079
"eu","Europe","eumlt","Malta","mlt",4116055.0000000005
"eu","Europe","eunld","Netherlands","nld",8064921820
"eu","Europe","eunor","Norway","nor",56720733188
"eu","Europe","eupol","Poland","pol",2939811
"eu","Europe","euprt","Portugal","prt",13444975
"eu","Europe","eurou","Romania","rou",17245347
"eu","Europe","eurus","Russia","rus",27741422646
"eu","Europe","eusrb","Serbia","srb",6762849.000000001
"eu","Europe","eusvk","Slovakia","svk",96386087
"eu","Europe","eusvn","Slovenia","svn",49672045.00000001
"eu","Europe","euswe","Sweden","swe",59103136
"eu","Europe","euukr","Ukraine","ukr",42396572
"na","North America","nacan","Canada","can",10160376389
"na","North America","namex","Mexico","mex",16520183
"na","North America","natto","Trinidad and Tobago","tto",25780
"na","North America","nausa","United States","usa",14156951458
"oc","Oceania","ocaus","Australia","aus",24528
"oc","Oceania","ocnzl","New Zealand","nzl",82396
"sa","South America","saarg","Argentina","arg",298220614
"sa","South America","sabol","Bolivia","bol",2130723758.9999998
"sa","South America","sabra","Brazil","bra",8930
"sa","South America","sachl","Chile","chl",1246161
"sa","South America","saguy","Guyana","guy",72.00000000000001
