"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",3579
"af","Africa","afbdi","Burundi","bdi",2562
"af","Africa","afben","Benin","ben",24719
"af","Africa","afbwa","Botswana","bwa",145498.99999999997
"af","Africa","afciv","Cote d'Ivoire","civ",2106.9999999999995
"af","Africa","afcod","Democratic Republic of the Congo","cod",7912
"af","Africa","afcog","Republic of the Congo","cog",471.00000000000006
"af","Africa","afcom","Comoros","com",1648.0000000000002
"af","Africa","afcpv","Cape Verde","cpv",26.000000000000004
"af","Africa","afegy","Egypt","egy",10
"af","Africa","afgab","Gabon","gab",2953.0000000000005
"af","Africa","afgha","Ghana","gha",3896.9999999999995
"af","Africa","afken","Kenya","ken",4241
"af","Africa","aflso","Lesotho","lso",150
"af","Africa","afmar","Morocco","mar",158476729
"af","Africa","afmdg","Madagascar","mdg",2233
"af","Africa","afmoz","Mozambique","moz",114
"af","Africa","afmrt","Mauritania","mrt",27000.999999999996
"af","Africa","afmus","Mauritius","mus",10851
"af","Africa","afmwi","Malawi","mwi",304
"af","Africa","afnam","Namibia","nam",21246
"af","Africa","afnga","Nigeria","nga",58613
"af","Africa","afswz","Eswatini","swz",322065
"af","Africa","aftgo","Togo","tgo",96
"af","Africa","aftza","Tanzania","tza",1309.0000000000002
"af","Africa","afzaf","South Africa","zaf",258156566.99999997
"af","Africa","afzmb","Zambia","zmb",4520
"af","Africa","afzwe","Zimbabwe","zwe",215
"as","Asia","asare","United Arab Emirates","are",41101
"as","Asia","asarm","Armenia","arm",460787447
"as","Asia","asaze","Azerbaijan","aze",19385421
"as","Asia","asbhr","Bahrain","bhr",927
"as","Asia","asbrn","Brunei","brn",242
"as","Asia","aschn","China","chn",11219713432
"as","Asia","asgeo","Georgia","geo",320967163
"as","Asia","ashkg","Hong Kong","hkg",1856846996.0000002
"as","Asia","asidn","Indonesia","idn",17353
"as","Asia","asind","India","ind",7402
"as","Asia","asirn","Iran","irn",9071913
"as","Asia","asirq","Iraq","irq",679
"as","Asia","asisr","Israel","isr",85050000
"as","Asia","askaz","Kazakhstan","kaz",272649427
"as","Asia","askgz","Kyrgyzstan","kgz",103640338
"as","Asia","askor","South Korea","kor",71959
"as","Asia","askwt","Kuwait","kwt",40095
"as","Asia","aslao","Laos","lao",573813
"as","Asia","aslka","Sri Lanka","lka",17458
"as","Asia","asmac","Macau","mac",26840656.000000004
"as","Asia","asmmr","Burma","mmr",600
"as","Asia","asmys","Malaysia","mys",101958292
"as","Asia","asnpl","Nepal","npl",824.0000000000001
"as","Asia","asomn","Oman","omn",5405
"as","Asia","aspak","Pakistan","pak",1508
"as","Asia","asphl","Philippines","phl",100166.00000000001
"as","Asia","aspse","Palestine","pse",51145
"as","Asia","asqat","Qatar","qat",94336
"as","Asia","assgp","Singapore","sgp",3094672735
"as","Asia","astha","Thailand","tha",1557223851
"as","Asia","astjk","Tajikistan","tjk",23629294
"as","Asia","astur","Turkey","tur",1686252797
"as","Asia","astwn","Chinese Taipei","twn",67192
"as","Asia","asuzb","Uzbekistan","uzb",154153282
"as","Asia","asvnm","Vietnam","vnm",989.0000000000001
"eu","Europe","ascyp","Cyprus","cyp",1631
"eu","Europe","euaut","Austria","aut",118185157
"eu","Europe","eubel","Belgium","bel",16343767584
"eu","Europe","eubgr","Bulgaria","bgr",1539901967
"eu","Europe","eubih","Bosnia and Herzegovina","bih",67667010
"eu","Europe","euche","Switzerland","che",1401991550
"eu","Europe","eucze","Czechia","cze",3487843321
"eu","Europe","eudeu","Germany","deu",30617369638
"eu","Europe","eudnk","Denmark","dnk",1094491852
"eu","Europe","euesp","Spain","esp",3278015928
"eu","Europe","euest","Estonia","est",164003727
"eu","Europe","eufin","Finland","fin",207854487
"eu","Europe","eufra","France","fra",12565184038
"eu","Europe","eugbr","United Kingdom","gbr",20701577463
"eu","Europe","eugrc","Greece","grc",2022033244
"eu","Europe","euhrv","Croatia","hrv",185973839
"eu","Europe","euhun","Hungary","hun",2655996757
"eu","Europe","euirl","Ireland","irl",1713792787
"eu","Europe","euita","Italy","ita",24329779666
"eu","Europe","eultu","Lithuania","ltu",262911319
"eu","Europe","eulux","Luxembourg","lux",415917353
"eu","Europe","eulva","Latvia","lva",510206130
"eu","Europe","eumda","Moldova","mda",373872674
"eu","Europe","eumkd","North Macedonia","mkd",114990650
"eu","Europe","eumne","Montenegro","mne",3306543
"eu","Europe","eunld","Netherlands","nld",4735744610
"eu","Europe","eupol","Poland","pol",8150791.999999999
"eu","Europe","euprt","Portugal","prt",166163876
"eu","Europe","eurou","Romania","rou",670060375
"eu","Europe","eurus","Russia","rus",214609135
"eu","Europe","eusmr","San Marino","smr",15776508.999999998
"eu","Europe","eusrb","Serbia","srb",505126061.99999994
"eu","Europe","eusvk","Slovakia","svk",3062010284.0000005
"eu","Europe","eusvn","Slovenia","svn",269688751
"eu","Europe","euswe","Sweden","swe",464655383.99999994
"eu","Europe","euukr","Ukraine","ukr",2020090970
"na","North America","nabhs","Bahamas","bhs",46428.99999999999
"na","North America","nacan","Canada","can",2310848708
"na","North America","nadom","Dominican Republic","dom",4812
"na","North America","namex","Mexico","mex",11738079313
"na","North America","natto","Trinidad and Tobago","tto",78431
"na","North America","nausa","United States","usa",10177583564
"oc","Oceania","ocaus","Australia","aus",1
"oc","Oceania","ocpng","Papua New Guinea","png",8963
"oc","Oceania","ocwsm","Samoa","wsm",82396
"sa","South America","saarg","Argentina","arg",899327874
"sa","South America","sabol","Bolivia","bol",8212
"sa","South America","sabra","Brazil","bra",1234062514.9999998
"sa","South America","sachl","Chile","chl",253813160
"sa","South America","sacol","Colombia","col",43158
"sa","South America","saecu","Ecuador","ecu",423
"sa","South America","saper","Peru","per",1926.9999999999998
"sa","South America","saury","Uruguay","ury",43001612
