time;close;Volume;Ticker: ECONOMICS:EUINTR
18/12/1998;3;NaN;
04/01/1999;3;NaN;
01/02/1999;3;NaN;
01/03/1999;3;NaN;
01/04/1999;3;NaN;
08/04/1999;2.5;NaN;
03/05/1999;2.5;NaN;
01/06/1999;2.5;NaN;
01/07/1999;2.5;NaN;
02/08/1999;2.5;NaN;
01/09/1999;2.5;NaN;
01/10/1999;2.5;NaN;
01/11/1999;2.5;NaN;
04/11/1999;3;NaN;
01/12/1999;3;NaN;
03/01/2000;3;NaN;
01/02/2000;3;NaN;
03/02/2000;3.25;NaN;
01/03/2000;3.25;NaN;
16/03/2000;3.5;NaN;
03/04/2000;3.5;NaN;
27/04/2000;3.75;NaN;
02/05/2000;3.75;NaN;
01/06/2000;3.75;NaN;
08/06/2000;4.25;NaN;
03/07/2000;4.25;NaN;
01/08/2000;4.25;NaN;
31/08/2000;4.5;NaN;
01/09/2000;4.5;NaN;
02/10/2000;4.5;NaN;
05/10/2000;4.75;NaN;
01/11/2000;4.75;NaN;
01/12/2000;4.75;NaN;
02/01/2001;4.75;NaN;
01/02/2001;4.75;NaN;
01/03/2001;4.75;NaN;
02/04/2001;4.75;NaN;
02/05/2001;4.75;NaN;
10/05/2001;4.5;NaN;
01/06/2001;4.5;NaN;
02/07/2001;4.5;NaN;
01/08/2001;4.5;NaN;
30/08/2001;4.25;NaN;
03/09/2001;4.25;NaN;
17/09/2001;3.75;NaN;
01/10/2001;3.75;NaN;
01/11/2001;3.75;NaN;
08/11/2001;3.25;NaN;
03/12/2001;3.25;NaN;
01/01/2002;3.25;NaN;
01/02/2002;3.25;NaN;
01/03/2002;3.25;NaN;
02/04/2002;3.25;NaN;
01/05/2002;3.25;NaN;
03/06/2002;3.25;NaN;
01/07/2002;3.25;NaN;
01/08/2002;3.25;NaN;
02/09/2002;3.25;NaN;
01/10/2002;3.25;NaN;
01/11/2002;3.25;NaN;
02/12/2002;3.25;NaN;
05/12/2002;2.75;NaN;
02/01/2003;2.75;NaN;
03/02/2003;2.75;NaN;
03/03/2003;2.75;NaN;
06/03/2003;2.5;NaN;
01/04/2003;2.5;NaN;
01/05/2003;2.5;NaN;
02/06/2003;2.5;NaN;
05/06/2003;2;NaN;
01/07/2003;2;NaN;
01/08/2003;2;NaN;
01/09/2003;2;NaN;
01/10/2003;2;NaN;
03/11/2003;2;NaN;
01/12/2003;2;NaN;
02/01/2004;2;NaN;
02/02/2004;2;NaN;
01/03/2004;2;NaN;
01/04/2004;2;NaN;
03/05/2004;2;NaN;
01/06/2004;2;NaN;
01/07/2004;2;NaN;
02/08/2004;2;NaN;
01/09/2004;2;NaN;
01/10/2004;2;NaN;
01/11/2004;2;NaN;
01/12/2004;2;NaN;
