"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",2258825934
"af","Africa","afben","Benin","ben",79
"af","Africa","afbfa","Burkina Faso","bfa",546
"af","Africa","afbwa","Botswana","bwa",9969.000000000002
"af","Africa","afciv","Cote d'Ivoire","civ",2172
"af","Africa","afcmr","Cameroon","cmr",1123619906
"af","Africa","afdza","Algeria","dza",7122224471
"af","Africa","afegy","Egypt","egy",2975801532
"af","Africa","afgab","Gabon","gab",9019177
"af","Africa","afgin","Guinea","gin",46410640.99999999
"af","Africa","afgnq","Equatorial Guinea","gnq",1929209893
"af","Africa","afken","Kenya","ken",63
"af","Africa","aflbr","Liberia","lbr",78549217
"af","Africa","afmar","Morocco","mar",39
"af","Africa","afmdg","Madagascar","mdg",109
"af","Africa","afmoz","Mozambique","moz",1990847216
"af","Africa","afmrt","Mauritania","mrt",6124
"af","Africa","afmus","Mauritius","mus",165160.99999999997
"af","Africa","afnam","Namibia","nam",128321.99999999999
"af","Africa","afnga","Nigeria","nga",7031137085
"af","Africa","aftza","Tanzania","tza",36128968
"af","Africa","afuga","Uganda","uga",1781
"af","Africa","afzaf","South Africa","zaf",10276222
"af","Africa","afzmb","Zambia","zmb",60002
"as","Asia","asare","United Arab Emirates","are",3500829392.9999995
"as","Asia","asbrn","Brunei","brn",2991384098
"as","Asia","aschn","China","chn",1028099392
"as","Asia","asidn","Indonesia","idn",7409834170
"as","Asia","asind","India","ind",2276354
"as","Asia","asirn","Iran","irn",19431
"as","Asia","asirq","Iraq","irq",2839
"as","Asia","asisr","Israel","isr",2127790000
"as","Asia","askor","South Korea","kor",688013
"as","Asia","asmys","Malaysia","mys",15381271780
"as","Asia","asomn","Oman","omn",4247070017
"as","Asia","asqat","Qatar","qat",37328250763
"as","Asia","assau","Saudi Arabia","sau",108302573
"as","Asia","assgp","Singapore","sgp",399432709
"as","Asia","astha","Thailand","tha",10413427
"as","Asia","astkm","Turkmenistan","tkm",10
"as","Asia","astur","Turkey","tur",109537511
"as","Asia","astwn","Chinese Taipei","twn",9968
"as","Asia","asvnm","Vietnam","vnm",122080291.99999999
"eu","Europe","ascyp","Cyprus","cyp",34391.99999999999
"eu","Europe","euaut","Austria","aut",3355007
"eu","Europe","eubel","Belgium","bel",123870289
"eu","Europe","eubgr","Bulgaria","bgr",9691314
"eu","Europe","eubih","Bosnia and Herzegovina","bih",907622
"eu","Europe","euche","Switzerland","che",44951590
"eu","Europe","eucze","Czechia","cze",52675720
"eu","Europe","eudeu","Germany","deu",101001751
"eu","Europe","eudnk","Denmark","dnk",2348865
"eu","Europe","euesp","Spain","esp",1090238187
"eu","Europe","euest","Estonia","est",5288665
"eu","Europe","eufin","Finland","fin",91907730
"eu","Europe","eufra","France","fra",22069934
"eu","Europe","eugbr","United Kingdom","gbr",1359909254
"eu","Europe","eugib","Gibraltar","gib",77529150
"eu","Europe","eugrc","Greece","grc",506553
"eu","Europe","euhrv","Croatia","hrv",2177467.9999999995
"eu","Europe","euhun","Hungary","hun",5351
"eu","Europe","euirl","Ireland","irl",3639237
"eu","Europe","euita","Italy","ita",108377493
"eu","Europe","eultu","Lithuania","ltu",44446671
"eu","Europe","eulux","Luxembourg","lux",55663392
"eu","Europe","eulva","Latvia","lva",101556
"eu","Europe","eumlt","Malta","mlt",5760600
"eu","Europe","eunld","Netherlands","nld",520914036
"eu","Europe","eunor","Norway","nor",2541277659
"eu","Europe","eupol","Poland","pol",3649525.9999999995
"eu","Europe","euprt","Portugal","prt",443
"eu","Europe","eurou","Romania","rou",329438
"eu","Europe","eurus","Russia","rus",18713140354
"eu","Europe","eusrb","Serbia","srb",97280
"eu","Europe","eusvn","Slovenia","svn",17299
"eu","Europe","euswe","Sweden","swe",20349463
"eu","Europe","euukr","Ukraine","ukr",2545
"na","North America","nacan","Canada","can",955690.9999999999
"na","North America","nacri","Costa Rica","cri",10595.999999999998
"na","North America","nadma","Dominica","dma",524670
"na","North America","nadom","Dominican Republic","dom",549117
"na","North America","najam","Jamaica","jam",239681249
"na","North America","namex","Mexico","mex",10293
"na","North America","natto","Trinidad and Tobago","tto",3583294906
"na","North America","nausa","United States","usa",41754616763
"oc","Oceania","ocaus","Australia","aus",46192893338
"oc","Oceania","ocnzl","New Zealand","nzl",668166
"oc","Oceania","ocpng","Papua New Guinea","png",5590997211
"sa","South America","sabra","Brazil","bra",45697221
"sa","South America","sachl","Chile","chl",13314860
"sa","South America","saper","Peru","per",1832171181
