"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",71883.00000000001
"af","Africa","afbdi","Burundi","bdi",194227.99999999997
"af","Africa","afbfa","Burkina Faso","bfa",693
"af","Africa","afbwa","Botswana","bwa",1052502
"af","Africa","afcaf","Central African Republic","caf",3614
"af","Africa","afciv","Cote d'Ivoire","civ",1289.0000000000002
"af","Africa","afcmr","Cameroon","cmr",504
"af","Africa","afcod","Democratic Republic of the Congo","cod",192443
"af","Africa","afcog","Republic of the Congo","cog",875
"af","Africa","afcom","Comoros","com",1829.0000000000002
"af","Africa","afdji","Djibouti","dji",9285
"af","Africa","afdza","Algeria","dza",936
"af","Africa","afgab","Gabon","gab",5819955
"af","Africa","afgha","Ghana","gha",2587021
"af","Africa","afgmb","Gambia","gmb",57802
"af","Africa","aflso","Lesotho","lso",3124155
"af","Africa","afmar","Morocco","mar",20571438
"af","Africa","afmoz","Mozambique","moz",1807656
"af","Africa","afmrt","Mauritania","mrt",2360
"af","Africa","afmus","Mauritius","mus",1594
"af","Africa","afmwi","Malawi","mwi",361409
"af","Africa","afnam","Namibia","nam",4497602
"af","Africa","afrwa","Rwanda","rwa",2915855
"af","Africa","afsom","Somalia","som",42129
"af","Africa","afswz","Eswatini","swz",4963905
"af","Africa","aftun","Tunisia","tun",35212.00000000001
"af","Africa","afuga","Uganda","uga",156015
"af","Africa","afzaf","South Africa","zaf",259461417.99999997
"af","Africa","afzmb","Zambia","zmb",1822
"af","Africa","afzwe","Zimbabwe","zwe",142467
"as","Asia","asafg","Afghanistan","afg",30206617.000000004
"as","Asia","asare","United Arab Emirates","are",92149500
"as","Asia","asarm","Armenia","arm",36722787
"as","Asia","asaze","Azerbaijan","aze",11002
"as","Asia","asbgd","Bangladesh","bgd",403216226
"as","Asia","asbhr","Bahrain","bhr",4460
"as","Asia","asbrn","Brunei","brn",20780
"as","Asia","aschn","China","chn",42209513492
"as","Asia","asgeo","Georgia","geo",30055.999999999996
"as","Asia","ashkg","Hong Kong","hkg",67955645
"as","Asia","asidn","Indonesia","idn",327988683
